V.A.0000.000.45
/**Base atpInterfaceTable Number, 468 **/
0x001e , // zcType default
0x0001 , // zcIndex [10进制表示为: 1]
0x003c , // ciType default
0x0001 , // ciIndex [10进制表示为: 1]

序号 , 设备名称 , 设备类型 , 设备ID , ZC侧ID , 码位值0 , P1801 , DBJ , 0 ,1 ,1
203 , T1810 , JZSB , 19 ,23 ,129
204 , T1812 , SDO-NERCV , 20 ,26 ,89
205 , T1812 , TIO-NERCV , 20 ,26 ,90
206 , T1812 , STD , 20 ,26 ,134
207 , T1812 , XTD , 20 ,26 ,135
208 , T1812 , DGJ-GENR , 20 ,26 ,136
209 , T1812 , JZSB , 20 ,26 ,137
210 , T1814 , SDO-NERCV , 21 ,8 ,59
211 , T1814 , TIO-NERCV , 21 ,8 ,60
212 , T1814 , STD , 21 ,8 ,74
213 , T1814 , XTD , 21 ,8 ,75
214 , T1814 , DGJ-GENR , 21 ,8 ,76
215 , T1814 , JZSB , 21 ,8 ,77
216 , T1816 , SDO-NERCV , 22 ,24 ,87
217 , T1816 , TIO-NERCV , 22 ,24 ,88
218 , T1816 , STD , 22 ,24 ,130
219 , T1816 , XTD , 22 ,24 ,131
220 , T1816 , DGJ-GENR , 22 ,24 ,132
221 , T1816 , JZSB , 22 ,24 ,133
222 , T1818 , SDO-NERCV , 23 ,27 ,91
223 , T1818 , TIO-NERCV , 23 ,27 ,92
224 , T1818 , STD , 23 ,27 ,138
225 , T1818 , XTD , 23 ,27 ,139
226 , T1818 , DGJ-GENR , 23 ,27 ,140
227 , T1818 , JZSB , 23 ,27 ,141
228 , T1820 , SDO-NERCV , 24 ,28 ,93
229 , T1820 , TIO-NERCV , 24 ,28 ,94
230 , T1820 , STD , 24 ,28 ,142
231 , T1820 , XTD , 24 ,28 ,143
232 , T1820 , DGJ-GENR , 24 ,28 ,144
233 , T1820 , JZSB , 24 ,28 ,145
234 , T1902 , SDO-NERCV , 25 ,29 ,95
235 , T1902 , TIO-NERCV , 25 ,29 ,96
236 , T1902 , STD , 25 ,29 ,146
237 , T1902 , XTD , 25 ,29 ,147
238 , T1902 , DGJ-GENR , 25 ,29 ,148
239 , T1902 , JZSB , 25 ,29 ,149
240 , T1904 , SDO-NERCV , 26 ,30 ,97
241 , T1904 , TIO-NERCV , 26 ,30 ,98
242 , T1904 , STD , 26 ,30 ,150
243 , T1904 , XTD , 26 ,30 ,151
244 , T1904 , DGJ-GENR , 26 ,30 ,152
245 , T1904 , JZSB , 26 ,30 ,153
246 , T1906 , SDO-NERCV , 27 ,31 ,99
247 , T1906 , TIO-NERCV , 27 ,31 ,100
248 , T1906 , STD , 27 ,31 ,154
249 , T1906 , XTD , 27 ,31 ,155
250 , T1906 , DGJ-GENR , 27 ,31 ,156
251 , T1906 , JZSB , 27 ,31 ,157
252 , T1801A , DGJ-CT-NERCV , 0 ,1 ,101
253 , T1801A , DGJ-UT-NERCV , 0 ,1 ,102
254 , T1802A , DGJ-CT-NERCV , 1 ,31 ,157
255 , T1802A , DGJ-UT-NERCV , 1 ,31 ,158
256 , T1803A , DGJ-CT-NERCV , 2 ,2 ,103
257 , T1803A , DGJ-UT-NERCV , 2 ,2 ,104
258 , T1804A , DGJ-CT-NERCV , 3 ,32 ,159
259 , T1804A , DGJ-UT-NERCV , 3 ,32 ,160
260 , T1805A , DGJ-CT-NERCV , 4 ,3 ,105
261 , T1805A , DGJ-UT-NERCV , 4 ,3 ,106
262 , T1805B , DGJ-CT-NERCV , 5 ,4 ,107
263 , T1805B , DGJ-UT-NERCV , 5 ,4 ,108
264 , T1805C , DGJ-CT-NERCV , 6 ,5 ,109
265 , T1805C , DGJ-UT-NERCV , 6 ,5 ,110
266 , T1806A , DGJ-CT-NERCV , 7 ,33 ,161
267 , T1806A , DGJ-UT-NERCV , 7 ,33 ,162
268 , T1806B , DGJ-CT-NERCV , 8 ,34 ,163
269 , T1806B , DGJ-UT-NERCV , 8 ,34 ,164
